kernel,total_ms,count,mean_us,pct
_state_passing_fwd_kernel,1589.9069,160,9936.918125,64.6032526618504
_chunk_scan_fwd_kernel,243.73541,160,1523.3463125,9.903787621067435
_chunk_state_fwd_kernel,221.79447399999998,160,1386.2154624999998,9.012253763301619
28x32_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas,101.06151299999999,460,219.69894130434784,4.10646840939421
at::native::vectorized_elementwise_kernel,71.336697,2040,34.968969117647056,2.898649386547644
at::native::,57.185835,280,204.235125,2.323652376868034
causal_conv1d_channellast_fwd_kernel,56.464383000000005,160,352.90239375,2.294337361102396
_layer_norm_fwd_1pass_kernel,46.096543000000004,160,288.10339375,1.8730572301226265
at::native::vectorized_gather_kernel,44.212529,240,184.21887083333334,1.7965034190406926
_bmm_chunk_fwd_kernel,19.853171999999997,160,124.082325,0.806701000451771
_chunk_cumsum_fwd_kernel,3.734436,160,23.340225,0.15174266647783588
at_cuda_detail::cub::DeviceRadixSortOnesweepKernel,1.830191,160,11.43869375,0.07436680197591736
at::native::reduce_kernel,1.1166840000000002,20,55.834199999999996,0.04537461822163661
at::native::elementwise_kernel,0.9129649999999999,60,15.216083333333334,0.03709683162355372
cutlass::Kernel2,0.506148,40,12.6537,0.02056649174130275
at::native::index_elementwise_kernel,0.318149,60,5.302483333333333,0.012927461495459291
at::native::unrolled_elementwise_kernel,0.3042249999999999,100,3.04225,0.012361682650129662
ge3_warpsize1x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,0.260005,20,13.00025,0.010564875659288235
void,0.196546,60,3.2757666666666667,0.007986323537356841
at_cuda_detail::cub::DeviceRadixSortHistogramKernel,0.08982399999999999,20,4.4912,0.0036498505460276004
at_cuda_detail::cub::DeviceScanKernel,0.06185600000000001,20,3.0928,0.002513416852679499
at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel,0.031456000000000005,20,1.5728,0.001278162838170692
at_cuda_detail::cub::DeviceScanInitKernel,0.022336000000000005,20,1.1168,0.00090758663381805
