nsys kernel summary — v0
source: docs/perf/profiles/night1/v0_staged.nsys-rep
kernels: 4740   GPU busy: 2461.032 ms / wall 2482.902 ms = 99.1%
gaps: n=4739 total=21.870 ms

                                                                  total_ms  count  mean_us    pct
kernel                                                                                           
_state_passing_fwd_kernel                                         1589.907    160 9936.918 64.603
_chunk_scan_fwd_kernel                                             243.735    160 1523.346  9.904
_chunk_state_fwd_kernel                                            221.794    160 1386.215  9.012
28x32_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas   101.062    460  219.699  4.106
at::native::vectorized_elementwise_kernel                           71.337   2040   34.969  2.899
at::native::                                                        57.186    280  204.235  2.324
causal_conv1d_channellast_fwd_kernel                                56.464    160  352.902  2.294
_layer_norm_fwd_1pass_kernel                                        46.097    160  288.103  1.873
at::native::vectorized_gather_kernel                                44.213    240  184.219  1.797
_bmm_chunk_fwd_kernel                                               19.853    160  124.082  0.807
_chunk_cumsum_fwd_kernel                                             3.734    160   23.340  0.152
at_cuda_detail::cub::DeviceRadixSortOnesweepKernel                   1.830    160   11.439  0.074
at::native::reduce_kernel                                            1.117     20   55.834  0.045
at::native::elementwise_kernel                                       0.913     60   15.216  0.037
cutlass::Kernel2                                                     0.506     40   12.654  0.021
at::native::index_elementwise_kernel                                 0.318     60    5.302  0.013
at::native::unrolled_elementwise_kernel                              0.304    100    3.042  0.012
ge3_warpsize1x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas     0.260     20   13.000  0.011
void                                                                 0.197     60    3.276  0.008
at_cuda_detail::cub::DeviceRadixSortHistogramKernel                  0.090     20    4.491  0.004
at_cuda_detail::cub::DeviceScanKernel                                0.062     20    3.093  0.003
at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel               0.031     20    1.573  0.001
at_cuda_detail::cub::DeviceScanInitKernel                            0.022     20    1.117  0.001
